,job_information,job_title
0,"hy is this role important to Field Nation?
The Data Architecture and Business Analytics Manager will lead the efforts in ensuring data is organized, understood, and accessible across our organization. This person will bring passion and advocacy to assist in building our culture of data driven decision making through building cross-functional relationships and a shared understanding of data’s future at Field Nation. This person will be expected to understand database architecture, current and future reporting/analysis needs, and warehousing technologies in order to consult on and help design forward-looking solutions for both business intelligence and advanced analytics. This position offers the opportunity to be in a fast-paced, high growth environment where new ideas are encouraged and collaboration is a must. This position is located in Minneapolis, MN.


What you'll do:
Lead the development of the enterprise data architecture strategy.
Lead a small team focused on data engineering and business analytics, working with them to prioritize work and guide decisions regarding our approach to data structures and integrity.
Collaborate with Data Engineer on architecture and further development of data warehouse and associated pipelines to align with business data needs.
Establish, communicate and lead the adoption of data standards, definition, and best practices across the enterprise.
Work closely with product delivery teams to ensure the data around product changes is architectured to support and influence internal business decisions and product roadmap.
Document key data models and relationships across the enterprise so relationships and dependencies are well understood.
Work with Business Intelligence Analyst to be aware of missing data elements and then work with other teams and systems to solve those issues across the organization.

What you'll need:
7+ years in a data position at a high growth, agile technology company with 1+ years of people management.
Previous experience in a data leadership role.
Analytical and data driven approach identifying opportunities and solutions.
Must be an excellent communicator, able to work collaboratively with internal teams and external stakeholders.
Demonstrated ability to understand business needs and execute on a business strategy
Ability to excel in an agile environment
Thorough understanding of data principles, theories and concepts.
Architecture experience with focus on data architecture, business systems integration, business intelligence, reporting and analytics.
Database technologies – SQL, performance tuning concepts, AWS RDS, RedShift, MS SQL, MySQL.
Industry standard techniques for data modeling, process modeling, master data management, metadata management and enterprise data management and data stewardship.
Provide consultation and expert advice to management.
Deal with complex difficult problems involving multiple facets and variables in non-standardized situations.

Why Field Nation
At Field Nation, we are breaking the barriers to work and enabling the gig economy. We’re a tech company that offers a web-based marketplace solution for buyers and sellers of contract services to simply connect, work, and manage their business. We look for collaborators, innovators, and problem solvers to join us in our common purpose of changing the way work gets done. We were named a Top Workplace by the Star Tribune in 2017 and 2018 and we look to hire extraordinary people and provide them extraordinary benefits.

A snapshot of our perks and benefits:
Unlimited/Flexible paid time off
Annual vacation bonus – yes, we’ll pay you a bonus to take paid time off!
Individualized growth and development plans to help you develop a deeper skillset and wider responsibility in your career
Exposure to and experience with cutting edge technologies to solve meaningful problems in an entrepreneurial, scaling startup environment
Company paid short-term and long-term disability and life insurance
Medical, dental, and vision benefits with HSA option (to include a competitive employer contribution)
Paid parental leave pay available
Great work/life balance with a flexible, come-as-you-are environment
Competitive 401k employer match and vesting schedule
Open office space with tons of natural light in beautiful downtown Minneapolis, connected to the Minneapolis skyway system, close to public transportation hubs, and many popular food options
Free gym membership in our building’s new facilit","anager, Data Architecture and Business Analytic"
1,"atholic Financial Life (CFL) has an exciting opportunity available for a Business Analyst to join our IT team! This position reports directly to the Director of Information Technology. The Business Analyst is primarily responsible for configuring CFL systems to meet enterprise business needs. The Business Analyst enables change by defining business needs and recommending solutions. The BA is responsible for collecting and documenting business requirements and functional requirements from various business teams for enterprise initiatives. This key role is the liaison between CFL business teams and technology teams. This is a key position with high visibility and high expectations. The ideal candidate must have a relentless passion to provide superior customer service to CFL Members, Advisors and home office associates.

Essential functions include:

· Serve as a subject matter expert for the Policy Administration System.

· Configure the Policy Administration System to effectively manage the products offered by CFL.

· Provide functional expertise for data corrections to the system.

· Review system errors and determine corrective action.

· Interface with system vendors for questions and issue resolution.

· Lead business stakeholder requirements gathering for IT initiatives.

· Provide functional testing leadership and expertise for new system roll out or system enhancements.

· Document and validate business requirements.

· Translate business needs into functional requirements and communicate those requirements to application delivery teams.

· Drive the requirements-gathering phase of technology projects.

· Advocate on behalf of the CFL business areas to IT, and advocate on behalf of IT to CFL business areas.

· Analyze some current CFL business analyst functions to determine if the function should be housed with the business teams.

· Become a Subject Matter Expert on a variety of packages and custom business applications.

Required for Consideration:

· Bachelors degree or equivalent work experience preferred

· 5+ years of Life Insurance experience across a wide range of products

· Experience with an insurance policy administration system

· Clear and concise verbal and written communication skills

· Strong interpersonal skills, at ease working with both business and technology staff.

· Strong problem solver.

· Curious, self-motivated, independent.

· A desire to set high expectations for yourself and strive to exceed those expectations.

· Ability to thrive in a fast-paced environment.

· Must have technical aptitude.

Successful candidate will be organized, detail oriented and able to work independently. Individual must be able to influence other associates at all organizational levels. Candidate must be skilled in effectively prioritizing work based on a balanced assessment of impact, urgency and priority in order to maximize efficiency while minimizing risk. Excellent communication skills are required with the ability to work well in a team environment.

About Catholic Financial Life

From Life Insurance to retirement planning, education savings, and more, Catholic Financial Life has been helping individuals protect their financial lives for nearly 150 years. With assets of $1.6 billion and 146,000 members across the United States, Catholic Financial Life's strength comes from being a different kind of financial community. As a member-owned organization, we are accountable to our members. Our longevity is a testimony to their loyalty, and our success is a result of being a trusted financial partner.

Catholic Financial Life is the second largest Catholic fraternal benefit organization in the United States. For six consecutive years, Catholic Financial Life has been named a Top Workplace by the Milwaukee Journal Sentinel. We offer a friendly culture with many soft benefits that make us unique, such as on-site parking and a pool on the roof!

Our Mission...

We're a faith-based membership organization which puts Catholic values in action by:

*Serving God through serving others;

*Providing financial security; and

*Enhancing quality of lif",usiness Analys
2,"oin a fast-growing company that is transforming its industry! Financial Recovery Technologies has become a trusted partner to the world's top investment institutions, and our best-in-class people and technology have made FRT a market leader. As a Business Analyst, you will work closely with key stakeholders to translate business and technical requirements into detailed acceptance criteria for user stories and support the end users as new products/features are rolled out.

The Role: As a Business Analyst at FRT, you will serve as the bridge between end users and the engineers who develop the product, creating User Stories, eliciting requirements, writing narratives and assisting with release planning.
Design and partner in the development of products that solve complex, multifunctional business problems with long-term implications
Engage in data mining exercises, leveraging Oracle, Mongo, and Astera in a microservice based environment and data driven analysis to drive discussions and gather requirements
Serve as the go-to resource for engineering and quality assurance; clarifying requirements throughout the software development life cycle
Define detailed acceptance criteria and test scenarios, ensure appropriate end user training and participate in the definition of technology solutions
Plan and participate in execution of User Acceptance Testing
Provide operational support and facilitate resolution of production issues by working with appropriate teams to research problems, track progress and determine and document solutions
Serve as the conduit between the immediate project team and the extended project team, including; Product Management, Client Service, and Operations.
Serve as the voice of the end user in the product development process
Develop a deep understanding of end user requirements by eliciting, analyzing, specifying, validating, and managing the true needs of customers and end users through focus groups and 1:1 interviews
Translate business and user requirements from conversations with customers into functional requirements, specified to an appropriate level of detail that can be used for development
Always be in a position to tell the story behind each and every user story or client requirement
Identify and execute on all automation opportunities to minimize manual work for end users and provide business-focused recommendations for system improvement
Develop deep knowledge and expertise in FRT’s operational workflows
Create visual modeling or diagramming of the current and proposed workflows
Help to modernize and continue to support legacy Access based processes and applications
Our ideal candidate:
Has an intense customer orientation, making customers (internal and external) and their needs a primary focal point;
Prioritizes collaboration over credit, demonstrating enthusiasm, courtesy, adaptability, flexibility and a spirit of cooperation in all contexts;
Is detail oriented and possesses strong analytical, problem solving, and creative thinking skills;
Identifies and analyzes problems, proposes solutions, and anticipates future problem areas before initiating action and implementing solutions;
Communicates well in writing and verbally to a variety of constituencies and has experience facilitating and presenting;
Has a positive, can-do attitude, projecting confidence and professionalism, as well as a strong sense of urgency;
Has a BA/BS (Masters preferred) in business administration, economics, mathematics, computer science, engineering, or a related field, plus at least three years’ experience in business and software usability analysis, including experience in an Agile environment;
Is intellectually curious with a demonstrated commitment to continuous growth; and
Of course, wants to join a growing company with a vibrant, entrepreneurial culture, dedicated to being the top provider in the class action recovery space.
What does FRT offer:
Fun and diverse colleagues
Free drinks and snacks and free access to onsite gym
Health, dental, vision
401k (with company match)
Income protection plans (life, AD&D, short- and long-term disability) and access to a suite of voluntary benefit programs
Close to public transit (walking distance to Wellington T on Orange Line)
Free parking onsite
THIS POSITION IS BASED IN OUR MEDFORD, MA HEADQUARTERS. LOCAL CANDIDATES ONLY, PLEASE",usiness Analys
3,"hevo is currently hiring a Business Analyst to join our expanding firm. This position will provide the opportunity for significant client interaction by learning the client’s business and to become a trusted advisor. You will help the IRS ensure tax compliance is applied equally across the IRS and the federal government. The ideal candidate will demonstrate experience and versatility in understanding and performing work related to defining business requirements, transforming business process, and aligning policies. Location, New Carrollton, MD with interaction with clients across the US.

Duties and Responsibilities:
Develops and analyzes business requirements and transforms them into documents detailing changes to business process
Meets with client staff to understand business process and to develop solutions
Establishes, monitors, measures, assesses or evaluates performance metrics for the program
Creates status reporting, both internally and to the client and creates reports and presentations for senior executives
Develops program communications to stakeholders
Documents plans, policies, and procedures
Facilitates customer meetings
Takes on other tasks to ensure timely and quality submission of deliverables
Required Qualifications:
Strong analytical skills – assertive and inquisitive manner that allows the individual to take even indirectly related and orally communicated information and transform it into actionable information
Proficiency in creating reports and presentations detailing the transformation of business process
Documenting and leading the implementation of business process changes within a business unit
Ability to pass client security clearance requirements
Desired Qualifications:
Experience documenting business requirements for Federal Programs
Active IRS Moderate Risk MBI clearance is a plus
Understanding of IRS business process and policy development
Strong oral and written communication skills and the ability to present a polished, professional, and diplomatic image to clients
Excellent client handling skills
Chevo offers a comprehensive benefits package including medical, dental and vision coverage, paid leave, 401K plan with matching, monthly SMART card employer contribution for commuting expenses, tuition assistance and more!

Want to work for a winner of the 2012 through 2019 Workplace Excellence Seal of Approval? Then join Chevo!

Chevo Consulting, LLC is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, disability, military status, national origin or any other characteristic protected under federal, state, or applicable local law",usiness Analys
4,"ob Purpose

To provide direction for the business intelligence and analytics efforts of iEducation Group. The BI &A team is responsible for creating and maintaining key organizational reports, a single source of truth (via data warehouse), acting as a gatekeeper for data integrity and security, and supporting the organizations growing analytical needs and capabilities.

Qualifications/Expectations:

- Education Minimum: BA/BS in business or technical concentration.

- MBA Preferred.

- Experience: 7+ years in Business Intelligence.

- Experience: 4+ years working with Data Warehouse technologies (MS SQL Server preferred).

- Strong organizational skills.

- Leadership skills.

- Attention to detail.

- Ability to communicate effectively with people at all levels of the organization.

- Knowledge of Microsoft tools for report creation.

- Advanced technical skills (relational databases, T-SQL, DAX, M, Power BI, SSIS, SSRS, SSMS).

- Strong analytical/data/modeling skills with the ability to formulate conclusions and actionable recommendations based on business requirements and questions.

- Problem solving/decision making skills.

- Strong motivation and initiative.

Essential Job Functions:
Manage Key Report Development Process
Maintain key organizational reports.
Provide support for key leaders in developing and enhancing key departmental reports.
Manage BI team’s development queue and progress.
Maintain and Develop Data Warehouse
Manage the maintenance and development of data warehouse.
Design and support the integration of new systems and datasets into the existing warehouse structure.
Provide and maintain data governance standards for warehouse utilization.
Support and Develop Organizational Analytics Capabilities
Act as the main analytics evangelist for the organization; encouraging and developing analytical capabilities in other core departments.
Provide analytical support for key organizational analytics projects.
Act as a catalyst for the continued growth and development of higher analytics and data science applications",irector - Business Intelligence and Analytic
5,"urpose of the Position:
Responsible for providing analytics support across the organization to enable better data-driven decision making and planning by senior management. As a member of the Business Intelligence team, the Intern will assist in:
Supporting key strategic decision making, process improvement and insight within UMA
Creating a unified and integrated view of our core data aligned with main institutional objectives.
Improving information accessibility and horizontal information sharing across the organization.
Establishing an enterprise-wide approach to data management.
The Intern, Business Intelligence reports to the Senior Manager, Business Intelligence.
Key Responsibilities:
Play key role in cross-functional reporting and analytics efforts across multiple Organizational units and key initiatives
Assemble and summarize data, make presentations of findings, and provide recommendations for to support senior management decision making.
Conduct trending, forecasting, predictive modeling to identify patterns and get to the root causes.
Identify reporting needs and create/improve daily, weekly and monthly reports.
Develop and maintain reports and metrics to track employee performance management.
Document and update existing standard operating procedures, process maps and org charts.
Standardize cross-departmental data definitions, KPIs, and calculations.
Share knowledge, expertise and best practices with new and existing analysts throughout the company.
Support Institutional Initiatives:
Keep current on institutional goals, objectives, and progress
Engage in institutional sponsored activities and initiatives as appropriate
Lead with courage in support of change initiatives that impact organization
Compliance:
Demonstrates knowledge of, and carefully follows all applicable federal and state compliance requirements and regulations including those prescribed by the Department of Education, accrediting agencies, CIE, and internal UMA policies and procedures.
Effectively communicates compliance requirements to students and other staff as appropriate and quickly escalates any compliance concerns to the Compliance department.
Work Experience, Skills & Abilities:
Minimum Requirements:
Bachelor’s degree in Business, Economics, Math, Accounting or Finance.
Minimum 1-year experience in business, process, and operations initiatives.
Enthusiasm for understanding and deriving actionable insights from data generated in a dynamic business environment.
Analytical thinker with proven ability to solve complex problems.
Interest in understanding business needs, analyzing data, and recommending additional or improved ways of meeting business objectives.
Ability to integrate data from many sources (quantitative and qualitative) into one or more holistic views for senior management use.
Desire to learn new things and drive operational outcomes.
Able to professionally communicate in verbal and written English
Proficient in MS Office (Word, Excel, PowerPoint) and other business tools such as Skype and Microsoft Teams
Able to support a diverse and inclusive work environment
Preferred Requirements:
Academic or professional experience in financial and/or operational modeling.
Academic or professional experience developing statistical models or forecasts in R, SAS, or SPSS.
Excellent written and verbal communication skills, specifically an ability to communicate effectively and persuasively with senior management
Experience creating dashboards in Power BI, Qlik, or Tableau.
Exposure to ANSI/ISO standard SQL or major SQL dialect (e.g., PL/SQL, T-SQL, or PL/pgSQL).
Experience or interest in the Education or Education Management industries.
Working Environment:
Office Environment – Must be able to work in the UMA Office
Flexibility to work evenings and weekends as needed.
Physical Demands:
Requires long periods of sitting at a desk working on a compute
Requires occasional bending, stooping and squatting
Requires occasional lifting of up to 10 lbs",usiness Intelligence/Strategy Inter
6,"usiness Analyst
Oxygen Development

Are you an individual who loves numbers, analyzing data and finding solutions?
Do you possess a drive to succeed in a dynamic and exciting environment?
Oxygen Development is a world class skin care and makeup manufacturer seeking successful professionals for a Business Analyst position in our Florida location.
Type of Employment: Fulltime, direct hire (90 day probation).
Here are some of the requirements for this position:
The Business Analyst will manage data collection, as well as validate and analyze the data to provide factual information for basis of decisions. Thus, increasing efficiency and reducing waste in company processes in manufacturing environment.
Essential Skills:
Develop, analyze and manage balanced scorecards and periodic standardized reporting to support business decisions.
Train and audit Team Leaders (TL) alongside Production Team Manager (PTM) with regards to data integrity and inventory accuracy.
Collaborate with Process Engineer (PE) to develop, audit, and ensure data integrity within a given process.
Innovate ways to reduce paperwork to promote efficiencies and leverage available technologies for data collection and business decisions
Identify and source variances between standard and actual labor costs (Time & Labor reconciliation) for capacity planning.
Responsible for month-end closing, variance investigation, and root cause analysis through KPIs Participate in the development and management of annual budgets and forecasts for the department.
Initiate necessary Information Technology (IT) requests for improvements to facilitate functional needs and business analysis within the process unit.
Participates in root cause analysis in order to recommend appropriate actions to improve process.
May act as a project manager on some projects.
Participate in group efforts to collect and analyze metrics and continually improve processes owned by the group.
Working knowledge of Six Sigma and Lean manufacturing principles.
Knowledge and application of TQM principles.

Education and Work Experience
a) Bachelor’s degree in Finance, Economics, Accounting, Business or related field preferred.
b) Mathematics knowledge (minimum of algebra level, statistics a plus)
c) Minimum of 3 years of work experience, preferably in the manufacturing industry (cosmetics,
personal care, pharmaceutical, food and beverage, consumer goods)
d) Advanced computer skills (MS Office, financial modeling)

Company Benefits after 91 days:
Health benefits, Dental and Vision Insurance
Supplementary Insurance
Sick leave
Vacation
After 12 months of employment employees may choose to participate in our 401K.
How to apply?
Please submit resumes through this portal or forward to echristensen@oxygendevelopment.com
Oxygen Development , LLC is an Equal Opportunity Employe",usiness Analys
7,"re you passionate about making a difference in people’s lives? Are you motivated to learn and connect people with cutting edge technology? Do you go the extra mile to provide customer delight? We are looking for talented people who are ready to grow with Hargray Communications. We are dedicated to developing our employees for a career and future with us. Hargray Communication is offering a career opportunity as a Business Analyst! General Description: Understands business needs and process flows. Assesses the impact of those needs, capturing, analyzing and documenting requirements and providing high-level solutions that leverage department capabilities and best practices in order to produce an optimal solution. Communicates and implements recommended solutions. Duties and Responsibilities: Work with the Hargray business units to shape the business requirement and project tracking. The Business Analyst should understand the telecom industry to advise on the use cases and the potential domains that will have an impact. Have the opportunity to reflect functional business needs by gathering business documents and technical requirements and meeting with business stakeholders. Be a key advisor for functional OSP teams based on solution capabilities and best practices, leveraging reuse where applicable. Design/recommend holistic and integrated high-level solutions that fit business needs, solution production operability and project budget. Participate in and/or lead formal and informal reviews with stakeholders, applying knowledge and experience and providing technical perspective and support. Be an actively engaged with all phases of the OSP Engineering and Construction projects. Responsible for communicating the solutions, with to the business. Will be expected to explain the new details of new solutions and its impact on business processes. Ensure that the customer understands the solution and receive responses to all open questions and action items. Prepare solution-related documents and specifications. Configures the solution, and creates, executes and maintains accurate and detailed project plans. Excellent written and verbal communication skills. Identify, create and facilitate process design changes by conducting business and systems process analysis and design at a complex level; focusing on quality improvement and data management; ensuring data is reliable and valid; developing process improvements or re-engineering and recommending elimination; integrating new systems and processes with existing ones; and partnering with internal and external customers to ensure systems provided meet the long-term business strategies. Provide project level analysis – producing required project analysis documentation (business requirements, scope matrix, use cases, sequence diagrams, future state proposals, UAT plan)",usiness Analys
8,"usiness Analyst - 2145
Position Location


Charleston, SC

Apply Now


Clearance Required:
MRPT

Education Required:
BA/BS

US Citizenship:

Summary
The MIL Corporation seeks a talented Business Analyst to support a Federal Government client at our Charleston, SC location. We need your outstanding analytical skills and technical expertise to assist with client financial reporting and analysis; with adherence to accounting procedures, policies and regulations; and with leadership for the resolution of complex issues relation to accounting operations and functions. In addition, your skills will assist key personnel in the review and acceptance of new software releases and changes to external systems to help ensure continued functionality, including reporting and maintenance.

Responsibilities
• Provide expertise on Federal accounting procedures, policies, regulations, and operations
• Act as a catalyst in resolving issues relating to Federal accounting operations and functions
• Communicate and work with other offices, Embassies and Federal Agencies, providing superior customer service and case management
• Develop and document best practices for operational units
• Utilization of spreadsheets and financial reporting software for data analytics
• Track departmental key performance metrics and generate quality assurance statistics
• Maintain financial system reference data tables
• Understand customers business processes and translate that knowledge into clear requirements
• Serve as a Subject Matter Expert (SME) in specific areas such as travel, procurement, property or transportation
• Provide advice concerning accounting standards and processes, utilizing expertise to perform analysis of interface issues and processes, and the resolution of accounting errors
• Initiate and lead Business Process Re-engineering (BPR) activities

Required Qualifications
• Bachelor's in Accounting or related field such as Business or Computer Science
• Expertise with Microsoft Office (Word, Excel, Power Point, Outlook)
• 6 years of reviewing and evaluating Federal accounting systems, procedures and regulations
• 4 years of systems analysis and design experience in any combination of the following areas: Requirements gathering; System design reviews; Implementation Support; Business process analysis; written specifications and resolution of system production issues
• Strong verbal and written communication skills
• Excellent customer service and client interaction skills
• Strong analytical skills to identify problems and propose solutions
• Ability to multi-task while maintaining a professional demeanor
• Self-starter with initiative to identify concerns and suggest options for resolution
• Overseas or domestic travel may be required
• Seasonal overtime as required

Desired Qualifications
• Experience with Momentum financial and accounting software
• Education/experience in accounting, ideally in Federal Government accounting
• Experience with business process improvement projects with a focus on streamlining processes and automating where appropriate
• Experience with Microsoft Access and the creation of databases and tools for process improvement
• Project management experience with life-cycle software development; testing, implementation and support
• Experience with Federal Agency systems or processes
• Experience with Tableau or comparable Business Intelligence data visualization software
• Certified Government Financial Manager (CGFM) or Project Management Professional (PMP) or Certified Public Accountant (CPA) certification

Education
Bachelor's in Accounting or related field such as Business or Computer Science

Clearance
All applicants for this position must be able to obtain and maintain a Moderate Risk Public Trust (MRPT) clearance; please note that the clearance process takes into account financial background aspects.

The MIL Corporation is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity and sexual orientation, national origin, disability status, protected veteran status, or any other characteristic protected by law. #CB #CJ",usiness Analys
9,"he Requirements
• Bachelors degree in Computer Science, Engineering, Management Information Systems or related area.
• At least two years of relevant work experience
• Experience or training in: RDBMS, SQL, Web-based applications and tools
• Experience with test plan creation, testing procedures and test plan execution is preferred.
• Experience in the Financials, Human Resources or Benefits domain areas is preferred, but not required
• Experience with Agile/Scrum development lifecycle preferred
• Ability to work on ""virtual"" teams with members from different geographic areas
• Ability to multi-task, and be mindful of deadlines.
• Self-motivated and ability to remain focused on assigned projects.
• Committed to quality and continuous improvement

EOE, including disability/vets

This role will be an integral part of a global team that will deliver technical solutions in a quality and efficient manner to clients around the world in partnership with our product development scrum teams.
Note that visa employment-based non-immigrant visa sponsorship and/or assistance is not offered for this specific job opportunity.

The Role

Excellence

• Participates in the development of solutions to solve our clients' Human Resources needs in a team-based environment.
• Creates both technical and functional end user documentation.
• Implements coding practices consistent with defined conventions.
• Develops and executes comprehensive test plans for system implementations.
• Provides valuable insights in development code reviews.
• Performs unit and comprehensive testing for overall quality assurance of functional and technical quality of deliverables.
• Defines and updates system tables as needed.
• Tracks the project status and communicates status to scrum team as appropriate.
• Maintains project issues log to track ongoing items for review and resolution by project team.
• Actively participates in all sprint meetings (Planning, Grooming, Daily Stand-ups, Sprint Review and Retrospectives).
• Alerts scrum team about out-of-scope work in a timely manner.
• Works with scrum team to identify project deliverables and meets established deadlines.
• Assists in developing standardized work processes, tools, and methodologies that improve quality and profitability.

People

• Works closely with scrum team members in a partnership to deliver the best results to the client.
• Participates in developer and/or business analyst meetings and consistently promotes teamwork in all daily activities.
• Mentors/Coaches other development team members.

Clients

• Communicates effectively with product owner and project teams to ensure solutions are complete and clearly communicated to the Health and pension practice.
• Asks questions during grooming sessions that help clarify the definition of done.

Financial

• Works with the team to monitor progress against all sprint deliverables and development daily plans to complete the work.
• Manages personal capacity to the scrum team.
• Monitors estimation process and work delivery to determine opportunities for improvement in planning and grooming meeting",usiness Analys
