,job_information,job_title
0,"The E-commerce Business Analyst (BA) role requires an individual that can synthesize complex business requirements into real world deliverable. Our e-commerce presence is critical to the company's growth, as its frequently the first impression that our customers form of our brand. The E-commerce BA will help maintain and improve the customer's experience and bottom line revenue by partnering with the senior executive team that drives our online business.

The BA will report directly to the Director of Strategic Planning & Project Management, and work closely with other BA's to define improvement opportunities, gather business requirements for IT development initiatives, and assist in project life-cycle management, including documentation, end user training and support, as needed. The BA will interact with subordinates, peers, and superiors, so the resource must be able to work with a broad range of personalities and skill sets.

The BA needs to be adept in the use of statistical tools and techniques to be able to support data driven decision making at every level of the company. Frequently, the information gathered and analyzed by the BA will be the information presented to company executives. The BA must be able to think strategically and execute on operational strategies to make definitive and measurable improvements for the company as a whole. The ability to think outside of the box and influence peers and management with supporting documentation is a must have. Knowledge and hands on experience working in the Retail Apparel E-commerce industry is strongly preferred. Ability to communicate succinct, articulate, executive summaries for senior leadership is a must.

Required Skills

Performed detailed fit/gap analysis by working with both the stakeholder and the development teams to provide estimated time to develop new functionality or make corrections to existing functionality.
Lead and/or assist with required data analysis, interpretation, correction, and execution of process or system improvement initiatives.
Maintain a backlog of ecommerce platform enhancements and bug fixes.
Work with the Product owner to develop a short and long term product roadmap for our B2C ecommerce site.
Work with QA/UAT Lead to support development of a test plan, test scripts and organization of test team. In some situations will be required to perform QA and UAT testing.
Prepare and present project progress reports to senior management.
Create and maintain process or system documentation for core business functions.
Will participate in systems integration testing (SIT) for our ERP to E-commerce Project
Data analysis, meeting facilitation, and presentation skills.
Ability to rapidly learn and adapt to systems and data changes.
Excellent oral and written communication skills.
Attention to detail.
JIRA, Workfront, or other project management system
Excel skills including the use of advanced functions
Microsoft Visio, LucidChart, or similar system skills
Change management skills
Web Analytics: Adobe Analytics, Google Analytics

Required Experience

Business analysis or project management experience
Ecommerce experience.
IT or system implementation experience is a plus.
Experience using SQL is a plus.
UI/UX design experience is a plus.

Click here to see what our employees say about working for our UA divisions!

Benefits Information: Enjoy the best of ALL worlds!

Along with a generous benefits package and dynamic downtown location, there’s another big benefit to building your career here: you enjoy the best of all worlds in one company. As an industry leader for 30 years, we offer the strength and stability of a large firm, with healthy profitability and exciting career growth. Yet our friendly, team-oriented workplace makes you feel like part of a close family. We offer comprehensive benefits including medical, dental, vision, critical care, life AD&D insurance. We also offer a 401 (k) plan, FMLA, Pet Insurance, Continuing Education, Employee Assistance, and additional discount programs. For more information about our extensive benefits, click here.

Watch your email here’s what happens next:
We look forward to reviewing your application! If your background is a promising fit for the position, you’ll get an email from us within 3-4 business days which will include a link to our online Candidate Assessment.

Why do we request this assessment?

A big reason why UA Brands is such a rewarding place to work and why so many employees thrive here is the extra time we invest during the hiring process. We want to make sure our potential candidate will be a great addition to our family! This assessment allows us to get to know you better, which also helps you determine if we’re the right fit too.

UA Brands is a Drug-Free Workplace.

As an employee of any UA Brands division, you will be part of an established and dynamic organization. We believe that success starts from within and we are seeking individuals who thrive in an environment that encourages and supports self-management. In order to provide equal employment and advancement opportunities to all individuals, employment decisions at UA Brands will be based on merit, qualifications, and abilities. UA Brands does not discriminate in employment opportunities or practices on the basis of race, color, religion, sex, national origin, age, disability or any other characteristic protected by law. UA Brands will make reasonable accommodations for qualified individuals with known disabilities unless doing so would result in an undue hardship.",E-Commerce Business Analyst
1,NONE,NONE
2,"Primary Duties and ResponsibilitiesProduce and ensure timely delivery of data files, reports, dashboards and presentations for the various functional areas within the organization.Identify data integrity issues, system and programming problems, and work with internal stakeholders and vendors to develop a solution.Generate and deliver all required regulatory reports required by various state and federal agencies within the required timeframes.Lead effort to create reporting & analytic processes and policies that streamline workflows, increase automation and improve scalability.Participate in the decision-making process regarding data warehousing and architecture as well as assisting in the transformation of raw data into useable analytic data sets.Oversee the enrollment process and manage the employees/clients who are involved in the work of handling the member application submission process to ensure that applications are submitted successfully and in accordance with the regulations set forth in Chapter 2 of the Medicare Managed Care Manual.Oversee the Appeals and Grievance process and manage the employees/clients who are involved in the work of handling A&G to ensure that anything submitted to the organization is handled appropriately, timely and in accordance with the regulations set forth in Chapter 13 of the Medicare Managed Care Manual.Serve as Project manager for the Healthcare Effectiveness Data and Information Set (HEDIS) project and ensure that the organization passes the annual HEDIS data validation Audit without incident.Operate as primary point of contact for Part C and D reporting and ensure that the organization passes the data validation audit.Lead the annual Timeliness Monitoring Project (TMP) and work with the departmental stakeholders to ensure the Organization successfully passes the CMS mandated audit of select ODAG and CDAG universes.Select and manage First Tier Downstream Related Entities (FDRs) who participate in reporting, HEDIS and Part C reporting functions.Lead the organization’s CMS Star Ratings program by monitoring performance in the reportable domains, forecasting rates and leading improvement initiatives to achieve higher scores in the measure that PPHP qualifies for.Minimum Requirements: Bachelor’s degree in health care field, math, statistics, or other quantitative area, or equivalent experience;7-10 years business experience with analytics and reporting.Experience gathering and analyzing large data setsExcellent written and oral skillsKnowledge of SQL preferred but not requiredMust have proven problem-solving, critical thinking and analytical skills.Proficiency in data management concepts, database structure and business intelligence platforms.Experience in data analytics for health insurance or managed care and/or government programs (Medicare Advantage preferred).Demonstrates strong ability to communicate technical concepts and implications to business partners.Ability to anticipate and prevent problems before they occur.Knowledge of HEDIS and STARSJob Type: Full-timeExperience:Data Analytics: 7 years (Required)Education:Bachelor's (Required)Benefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time off",Manager of Reporting and Analytics
3,NONE,NONE
4,"Design Patent AttorneySpokane, WA – Seattle, WA – Austin, TX – Atlanta, GA – Washington, D.C. – Rochester, NYLee & Hayes is seeking a Patent Attorney with design patent experience for our Spokane, Seattle, Austin, Atlanta, DC, or Rochester offices. The firm’s design practice includes strategic procurement and enforcement of design rights for some of the world’s largest, most innovative, and well-known organizations. We consult as experts in design patent law, developing strategies for our clients to protect the ornamental characteristics of their innovations, whether that includes electronic devices, vehicles, graphical user interfaces, or apparel.UNIQUE LAW FIRMLee & Hayes provides a unique corporate culture that fosters a collegial atmosphere, encourages camaraderie, community outreach, and work-life balance. Health and wellness initiatives are coordinated year-round and include quarterly wellness activities, healthy snacks in the office, and the availability of stand-up work stations for each employee. Members of the Lee & Hayes team are highly-accomplished individuals who take pride in their work, community, and families. Lee & Hayes provides an excellent compensation and benefits package, is an equal opportunity employer (EOE), and strongly supports diversity in the workplace.In addition to consistent recognition as a leading patent prosecution firm and best employer, Lee & Hayes:Offers a comprehensive suite of IP counseling services including analytics-driven portfolio analysis, licensing negotiations, and freedom to operate analysis.Provides litigation and corporate services ranging from business formation, mergers and acquisitions, and FDA/regulatory counseling.Is consistently recognized as one of the nation’s highest-quality patent law firms across a broad spectrum of industry sectors and by organizations such as Intellectual Property Management (IAM) 300 & 1000, U.S. News & World Report and Best Lawyers®, Super Lawyers®, Best Places to Work Inland Northwest.Culturally, is more like a “high-tech company of lawyers” than a law firm.QUALIFICATIONS: The successful candidate will have 3 plus years’ experience in preparation and prosecution of design patent applications in the US, at least 1 year of experience in foreign jurisdictions, and trademark experience. Candidates should thrive in an environment that emphasizes excellence, innovation, efficiency, and teamwork. Superior writing and communication skills and a strong commitment to delivering exceptional client service and practical business-oriented advice are required. Candidates must have a law degree and USPTO registration number. Patent application and prosecution writing samples will be requested.Job Type: Full-timeExperience:non-US jurisdictions: 1 year (Preferred)preparation and prosecution of design applications in the US: 3 years (Preferred)",Design Patent Attorney
5,"The VP of Marketing will report directly to the President / CEO. Solar industry experience is a MUST! He / She is responsible for participating in developing the core brand value proposition and leading go-to-market plans, launches, and strategic programs across multiple markets, segments, products, and channels. In this role, you are a passionate self-starter who is strategic, and at the same time, impeccably detail oriented. You have experience leading a team of 12 or more and managing a $6 million budget. You are data- and results-driven, love driving creative and innovative approaches, and thrive in fast-paced environments. You have extensive knowledge of digital brand building strategies – including content, lead generation, SEO, and social media.What you will do: 1. Direct the development and execution of an integrated marketing strategy heavily using the scale of digital methods (website, CRM, social media, paid reach, etc.) to drive customer awareness, lead nurturing, and engagement while defining, owning, and reporting meaningful metrics and data analytics.2. Spearhead the strategic and tactical execution of marketing campaigns and activities, including advertising, public relations, events, promotions and sales tools. Implement performance metrics and tracking tools to measure results.3. Lead and manage a team of 12 and a $6 million dollar budget.4. Create integrated marketing programs that drive interest, influence and achieve sales and growth targets.5. Lead development of corporate CRM, content strategy, website content, SEO and lead generation, social (content, organic reach and paid reach) - with the goal of growing revenue.6. Research and analyze what our core target audience and customers want and do so on a daily, weekly, and monthly basis.7. Develop competitive insights and track market trends that allow us to take action to unlock new opportunities and hedge against business threats.8. Develop go to market plans and launches.Education or Equivalent: 5+ years of relevant B2B digital marketing experienceBA/BS degree or equivalent product marketing experienceSend resume to be considered.Job Type: Full-timeSalary: $150,000.00 to $200,000.00 /hourExperience:sales: 1 year (Preferred)retail digital marketing: 5 years (Preferred)management: 5 years (Required)solar industry digital retail marketing: 5 years (Required)marketing: 5 years (Required)Solar Industry: 3 years (Required)Solar Industry Experience: 5 years (Preferred)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offSchedule:Monday to FridayWork Remotely:No",Vice President of Marketing - SOLAR INDUSTRY EXPERIENCE REQUIRED
6,NONE,NONE
7,"Everyone communicates. It’s the essence of the human experience. How we communicate is evolving. Technology is reshaping the way we live, learn and thrive. The epicenter of this transformation is the network—our passion. Our experts are rethinking the purpose, role and usage of networks to help our customers increase bandwidth, expand capacity, enhance efficiency, speed deployment and simplify migration. From remote cell sites to massive sports arenas, from busy airports to state-of-the-art data centers— we provide the essential expertise and vital infrastructure your business needs to succeed. The world’s most advanced networks rely on CommScope connectivity.

Learn More About Internship Programs at CommScope

As CommScope designs and builds connectivity for the world's most advanced networks, we're building something equally as important: careers for bright college students like you. Our Summer Internship Program is designed to provide you an invaluable work experience through completing challenging projects to help you grow and develop.

Throughout the 12-week program, you will collaborate with some of the best in the industry, receive on the job training and participate in professional development workshops, executive speaker series, and other networking and social events!

What to Expect:
As a Business Analytics Intern, you will report to a Business Analytics Manager. You will use your skills and learning ability to understand sales and marketing processes in CRM and design, develop CRM solutions in Microsoft D365. Your tasks include investigating Business users and IT CRM analyst to gain process knowledge and build WIKI for current CommScope D365 system, gathering requirements, building small to medium custom solutions in MS D365 using out of the box functionality and custom components developed using JavaScript, C# | .NET Framework.

You Will Make an Impact By:
Understanding business requirement via collaboration with business partners and IT Analyst
Attending daily and weekly meetings with team and brainstorming sessions
Design and implement D365 out of the box functionality and custom coding using Java Script and C# / .NET framework and ensure solution is tested/verified and quality is checked
Collaborate with business and technology stakeholders in creating CRM functional WIKI in Azure Devops
Design and build Analytics, custom forms and notifications as needed
Implement design thinking skills solving any problem/solution
Design and build reports and dashboards using Power BI for CRM analytics
Understand and gain knowledge in writing Plug-ins and custom workflows using CRM SDK and implementing JavaScript to enhance the webform functionality and to connect to MSCRM using Rest, ODATA web API

Required Qualifications for Consideration

Junior or Senior standing in BA or master’s degree in computer science field (Information Technology, Computer Science, and/or Engineering) from an accredited university
Proven strong academic performer with a minimum GPA of 3.2
Eligible to work in the US for any employer without sponsorship from the company

You Will Excite Us If You

Possess experience with any programing skills and databases and SQL
Understand OOPS concepts and ability to code simple to complex programs in any programing language
Possess strong analytical and communication skills; as well as ability to make good judgment and work with both technical and business personnel
Demonstrate strong leadership, interpersonal and communication skills
Show innovation through unique ideas and propose them to the team

Why CommScope?

In today’s always on world, CommScope is pushing the bounds of communications technology. We are building better connections and shaping networks of the future. For more than 40 years, we’ve been leaders in innovating the network infrastructure of the future. Developments such as the Internet of Things, seamless connectivity and 5G introduce new requirements and demand creative thinking. With our unmatched expertise in copper, fiber and wireless infrastructure, our global clients rely on us to outperform today and be ready for the needs of tomorrow.

It is the policy of CommScope to provide Equal Employment Opportunities to all individuals based on merit, qualifications and abilities. CommScope does not discriminate in employment opportunities or practices on the basis of race, color, religion, gender (including pregnancy), national origin, age or any other characteristics as protected by law. Furthermore, this contractor and subcontractor shall abide by the requirements of 41 CFR 60-300.5(a) and 41 CFR 60-741.5(a). These regulations prohibit discrimination against qualified protected veterans and qualified individuals on the basis of disability, and require affirmative action by covered prime contractors and subcontractors to employ and advance in employment qualified protected veterans and qualified individuals with disabilities.

;;",Business Analytics Intern
8,"Our analytics team helps our clients to make well-informed, data-driven decisions through a holistic approach. We bring together new software and technologies with a unique perspective on bridging the traditional Business-IT divide. Our ability to quickly create value through innovative solutions is key to the success of our Business Intelligence consultancy.

At InterWorks, we know the difference a high-quality Analytics Consultant can make. That is why we take pride in employing Analytics Consultants who are intelligent, articulate and passionate about their work. Our ideal candidate combines a strong understanding of data analytics, a solid technological foundation, a team-focused approach, and the ability to meaningfully connect with clients. Analytics consultants work hand-in-hand with clients and must possess friendly and engaging personalities.

InterWorks' Analytics Consultants build solutions for a diverse range of clients and industries, from Fortune 500 to local business. Our projects stretch end-to-end within the analytics spectrum, ranging from data capture & storage all the way through the board room's forecast analysis. Project teams may include technical specialists in component disciplines as well as business-focused generalists. You may work as part of a team that requires specialties in data capture and storage, ETL, data science, dashboarding, training, or change management. Agile development methodologies run throughout our engagements; the ability to adapt to change quickly is crucial.

InterWorks provides an exciting work environment, with a unique company culture. Our employees are some of the most intelligent and friendly people you will ever meet, and they are the primary reason for the success of InterWorks. Joining the InterWorks team as an Analytics Consultant means joining a rapidly growing family.

Skills and Requirements

Here are some basic characteristics that we look for in our Analytics Consultants:

Required:
Excellent verbal and written communication skills
Passion for interacting with people, both co-workers and clients
Strong analytical and problem solving skills
SQL/ETL for data analytics systems
Business acumen and understanding of the role of business intelligence
Easily adaptable and flexible to changing situations
Passion for delivering compelling solutions that exceed client expectations
Comfortable with 50% travel or more

Highly Desired:
Tableau Software Experience (Tableau Desktop, Tableau Server)
SQL and Data Warehouse (Snowflake, SQL Server, Redshift)
ETL Tools (e.g. Alteryx, SyncSort, Informatica, Data Stage, SSIS, Pentaho)

About InterWorks

InterWorks is a people-first, business-to-business consulting firm based out of Oklahoma. Join teammates in Dallas, Atlanta, Chicago, Portland, New York, San Francisco, Australia and in Europe.

Click here for the InterWorks Privacy Policy

XcKDlVZY87",Analytics Consultant - East
9,NONE,NONE
