,job_information,job_title
0,"Imagine a typical day at the office that entails interviewing subjects, testifying in court and advising on all matters related to our national security. If those collective roles make up a career you wish to pursue, consider applying to the FBI. Our Special Agents seek out cyberthieves, infiltrate organized crime rings and oversee terrorism investigations, often training local, state and foreign counterparts on the latest technologies in intelligence gathering and data analysis. Of course, our ultimate mission is to protect the American people and uphold the Constitution of the United States.While individuals of all backgrounds are highly encouraged to apply to be an FBI Special Agent, we’re specifically seeking individuals with the following skills:SCIENCE, TECHNOLOGY, ENGINEERING AND MATH (STEM): Your STEM background could significantly contribute to our work in keeping up with evolving threats and aggressive actions taken against our national security. We need Special Agents who are logical thinkers and experienced in network security, computer science, software engineering, mathematical formulation and technology. Because technology permeates every aspect of what we do, counterterrorism investigations, as well as technology and computer-based cybercrimes (website hacks, intrusions, data theft, ransomware and other attacks) make up some of our top priorities.LINGUISTS: You may have been raised speaking a language other than English, taught it for a few years or even participated in intensive learning before going overseas to use it. You know that your language skills can make a difference, whether your specialty is Arabic, Bosnian, Chinese, Farsi, Russian, Spanish, Somali, Uzbek, Korean, Portuguese or another foreign language.LAW/LEGAL: By applying your legal knowledge to our casework, you will be instrumental in helping investigate criminal activities and identifying authorities and other entities to further investigations. You will have an opportunity to work with federal, state and local law enforcement officers and the Intelligence Community and you will assess the legal implications of tools, technologies and techniques used by the FBI.MILITARY/LAW ENFORCEMENT: You bring a highly valued set of tactical skills and expertise, as well as leadership, integrity, teamwork and dedication forged by your armed forces or law enforcement career. Whether you have detective, SWAT, helicopter/jet/rescue pilot, K-9 handler, bomb tech, operational paramedic experience or otherwise, you raise challenging questions on a daily basis and, because of that, you recognize that the FBI is the next step for you.EDUCATION/TEACHING: Whether you’re a college or university professor (tenured, adjunct or otherwise), a faculty member or an elementary, middle or high school teacher, you have a gift for relating with individuals of all ages and backgrounds. Your teaching skills make you methodical and you can consolidate comprehensive information into strategic, analytical lesson plans. Your skills will easily translate to a Special Agent career, where you’ll enhance your team’s understanding of threats, vulnerabilities and gaps by investigating matters and building relationships with communities and individuals from all walks of life.CYBERSECURITY/TECHNOLOGY: Whether you work in counterterrorism, criminal investigations or thwarting cyberattacks, investigating computer-based crimes (website hacks, intrusions, data theft, ransomware, etc.)make up some of our top priorities. You will work on highly collaborative investigative teams to thwart counterintelligence plots, fraud, bank robberies and more. You can expect continued specialized training once onboard and opportunities to work on some of the Bureau’s most complex cases.HEALTHCARE SERVICES/MEDICAL: Special Agent Paramedics, Occupational Health Nurses, Employee Assistance Counselors and Mental Health Assessment Specialists possess unique knowledge, skills and experiences that are highly valued by the FBI. Our professionals use their medical training and experience to work in settings throughout all FBI operations — both in the office, as well as in the field — to protect the American people. Whatever your specialty, there’s a good chance that you may be embedded within certain field SWAT teams, our Hazardous Materials Response Unit (HMRU) in the FBI Lab and our Hostage Rescue Team (HRT) in our Critical Incident Response Group (CIRG).PSYCHOLOGY/COUNSELING: Your understanding of human behavior is critical in analyzing motives and providing insights about psychological characteristics and behavioral patterns that help keep people safe. Your analysis helps assess threats and identify individuals and groups who may pose risks to national security or public safety. Your expertise and compassion ensure the most appropriate and effective handling of sensitive cases involving children or trauma victims and situations, including hostage negotiations.ACCOUNTING/FINANCE: You are driven to follow the money trail and discover hidden assets, connecting the dots to trace transactions back to their source. You will use your accounting and finance background to analyze data, then consult with and educate your team. Your diversified financial skills will easily adapt to all areas: from counterintelligence and cybersecurity to organized crime and terrorism. From testifying in court to conducting sensitive financial investigations, you will hone your accounting and financial skills at the highest level.THE COMMITMENTBeing a Special Agent can be a lifelong career of uncommon days and amazing experiences.What you’ll need to succeed:· An ability to think on your feet and be a team player.· A high-level of physical fitness necessary to effectively respond to life-threatening situations on the job.In addition:· Exceptional problem-solving and analytical skills.· Be detail-oriented, yet keep a strategic focus.· Ability to objectively evaluate information and make sound judgements.· Honesty and integrity must be the foundation of who you are.· The drive and commitment to make a difference in the communities you serve.All applicants are evaluated on core competencies of collaboration, communication, flexibility/adaptability, initiative, interpersonal ability, leadership, organizing/planning and problem solving/judgment.The FBI Special Agent position requires significant commitment and dedication from you and your family, but it’s an experience you will never forget. As a Special Agent, you will join an elite team of people committed to the highest standards. Our team has a critical mission and our people are sought after as some of the best in their fields.Key RequirementsYou must:· Be a U.S. citizen.· Be at least 23 years old and not have reached your 37th birthday on appointment.· Have a Bachelor’s degree or Master’s degree from a U.S.-accredited college or university.· Be able to obtain a Top Secret Clearance.· Have two years of full-time professional work experience (see work experience waiver for exceptions).· Meet the FBI’s Employment Eligibility requirements.· Possess a valid driver’s license with at least six months driving experience.· Meet all FBI physical requirements, be physically fit to complete training at the FBI Academy in Quantico, VA, and maintain a high level of fitness throughout your career.· Commit to serving as a Special Agent for a minimum of three years.· Successfully complete approximately 20 weeks of employment as a Special Agent trainee, while housed at the FBI Academy.· Work a minimum of a 50-hour workweek, which may include odd hours, and be on call 24/7, including holidays and weekends.· Be willing and able to participate in arrests, execute search warrants, raids and similar assignments.The Special Agent Selection System (SASS) is a mentally and physically challenging process designed to find only the most capable applicants. The selection process typically takes one year or more to complete.Job Type: Full-timeSalary: $62,556.00 to $80,721.00 /yearEducation:Bachelor's (Required)Work authorization:United States (Required)",Special Agent
1,"Manager, Actuarial Modeling and Analytics JOB SUMMARY: We are looking for a Manager of Actuarial Modeling and Analytics. The Manager will be responsible for ensuring the integrity of modeling for pricing, projection and valuation.KEY RESPONSIBILITIES: Maintain and support projection models for product development, projection, and valuation.Oversee development of experience study.Monitor results for accuracy and analysis purposes.Special projects as directed by Senior Leadership.Train, develop and lead associates.KNOWLEDGE, SKILLS and ABILITIES: General knowledge of life insurance industry and practices.Knowledge of actuarial guidelines and code of professional conduct.Knowledge of applicable laws and regulations.Knowledge of product and administration system.Knowledge of actuarial modeling and programming.EDUCATION QUALIFICATIONS: Four-year college education.Other (Please specify): ASA or FSAJob Type: Full-timeWork Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offTuition reimbursement","Manager, Actuarial Modeling and Analytics"
2,NONE,NONE
3,"Responsibilities

STRATTEC Security Corporation is one of the world's largest suppliers providing access and security systems to the automotive market. This drives us to be an innovative company with the latest technology. STRATTEC creates exciting opportunities to people who like to work in an environment that challenges them to be creative, deal with multiple customers and projects, and research the latest technology. You will help STRATTEC to be a pioneer by working closely with the largest automotive customers in the world along with the largest electronic partners.

Let us know who you are! We want to know what motivates you and why you are the ideal candidate for our growing team. The ideal candidate will possess a team oriented attitude; have a multidiscipline background, and a passion for innovation. We are looking for leadership skills to develop a new group internally.

If you are one who like to build a team, has strong skillsets and likes to see your own ideas come to life, apply quickly!

SUMMARY

The Tooling Manager role will lead our organization’s die cast and stamping tooling groups by providing innovative and timely best cost solutions for zinc high pressure die cast and metal stamping tooling, further develop tooling expertise within manufacturing, solidify the tooling preventative maintenance program and identify/develop tooling suppliers to provide the best overall value to Strattec. This will include working closely with both manufacturing engineering and new product engineering to provide cost effective and standardized solutions that are designed for manufacturing.

PRIMARY DUTIES AND RESPONSIBILITIES

Develop and deploy tooling organizational strategy that allows Strattec to meet or exceed objectives of tooling in 8 weeks or less, with standardized designs & fabrication processes, at the best cost & quality.
Ensure consistency in the way tooling is engineered, documented and sustained by developing standardized design processes, design templates & tooling specifications for stamping & die cast tooling.
Review, improve and standardize tooling preventative maintenance program by leveraging best practices and should be based on the cycles a tool has operated.
Develop and define new tooling design techniques, tooling fabrication processes, equipment requirements and resource skills to deliver new tooling in less than 8 weeks from kick-off to PPAP.
Specify and request tooling estimates, internally & externally, that achieve best cost, process reliability, and volume & timing requirements to obtain the optimum tooling solution for Strattec. Specifications include die construction, machine size, cycle time, material, geometry and other special requirements.
Standardize tooling vendors utilized for providing cost estimates and repairs. Tracking of repair time, new tool cost and repair cost should be maintained for regular evaluation of tooling vendor performance.
Manage tool builds thru pilot run ensuring accurate communication and tooling standard adherence.
Develop collaborative relationships with new product development teams & provide regular design input/support.
Align with key stakeholders to create solutions, implementation plans and drive completion of improvement activities
Leverage lean concepts and industry benchmarks such as visual factory, standard work, error proofing, single piece flow, six sigma, kaizen, TPM and Industry 4.0 to simplify the organization and eliminate decisions in the design, manufacture, preventive maintenance and troubleshooting processes.

Qualifications

QUALIFICATIONS

To provide this job successfully, and individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to individuals with disabilities to perform essential functions.

SUPERVISORY RESPONSIBILITIES

This role will have supervisory responsibilities for both salary and bargaining unit associates which will include interviewing, training, creating challenging objectives, planning/prioritizing work, appraising performance, providing constructive feedback, development planning, succession planning, and working with human resources to address all disciplinary/associate issues as necessary.

QUALIFICATIONS

The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

EDUCATION and/or EXPERIENCE

Minimum of Bachelor of Science degree from an engineering discipline
Minimum of 10 years of experience with die casting and/or stamping tooling
A very strong die casting background with emphasis on tooling design/manufacturing, tooling cost estimation and preventative maintenance is required
Experience with mold/die flow and CREO/PRO E software is required
CNC programming, high speed machining, EDM (wire & sink), and grinding knowledge required
Knowledge of quality control and part print references (GD&T) is also required
Understanding of lean concepts and how to apply them to a manufacturing environment
Efficiently collect, analyze and present data in a clear & concise format
Interpret data analysis and provide insightful recommended solutions
Ability to influence others thru good communication skills
The ability to manage projects and work in a team project environment is required

STRATTEC SECURITY CORPORATION is an equal opportunity employer and practices affirmative action to recruit, hire, train, upgrade, transfer and promote persons in all job titles without regard to race, color, creed, religion, sex, age, national origin, disability or protected veteran status.

PI118873376",Tooling Manager
4,"United Family Medicine believes that each employee makes a significant contribution to our success. That contribution should not be limited by the assigned responsibilities. Therefore, this position description is designed to outline the primary duties, qualifications and job scope, but not limit the incumbent nor the Company to just the work identified. It is our expectation that each employee will offer his/her services wherever and whenever necessary to ensure the success of our endeavors.Summary: This position will be responsible for conducting coding and billing audits, providing education and communication of process improvements on inpatient and outpatient coding. Monitor the accuracy and efficiency of the documentation and coding and provide tools and resources for improving accuracy or implementing changes. Implement an effective education and communication process for all coding and monitor the accuracy and efficiency of the documentation and coding staying current with new regulations and changes.Creates presentations, develops educational material, handbooks and other training materials. Audits current coding practices and works directly with coders and providers to provide feedback and education as needed. This position may also assist with daily clinical and hospital coding as needed.*Essential Functions:*Chart auditing, data analysis of coding practices and staff education.Maintain current knowledge on CMS regulations. Research new practices and methods of coding and changes as needed.Provide communication, biannual education to physicians, and training to coding staff.Maintain/update coding procedures and guidelines.*Competency/Compliance:*Must perform work in the manner prescribed by documented work processes in order to ensure compliance with all rules and regulations.Identify, document and communicate interference or issues with any communications leaving the site.Must perform work in the manner prescribed by documented work processes in order to ensure compliance with all rules and regulations, accreditation standards and laws that apply. Specifically, those work processes that involve practices that avoid activities that constitute fraud and abuse or conflict with the HIPAA privacy act.Must have computer experience with a demonstrated proficiency in word processing, spreadsheets, and data management applications.Demonstrate ability to work independently and successfully manage complex data.At least one year experience with abstracting data with excellent analytical, organizational and problem solving skills.Maintain confidentiality of all employees, patient and other privileged information regarding UFM business activities according to clinic, FQHC, Medicare and HIPAA standards.Maintain the highest standards of ethics and integrity in the performance of job duties and responsibilities.*Education/Experience:*7- 10 years coding experience with coding certification (CPC or CCS)3-5 years experience in coding education or regulatory education or similar area3-5 years experience with strong written and verbal professional Communication skillsSkills: Able to identify variances in documentation and correct assignment of CPT/ICD10 codes and educate staff of corrections.Contact third party payers for research purposes and conduct thorough investigations of concern or issues to correct issues in a timely manner.Intermediate or advanced computer skills and ability to produce complex documents and spreadsheets using word processing, spreadsheets, graphic design, desktop publishing, database management and softwareAbility to understand provider/staff questions in the context of compliance and respond accordinglyAbility to communicate clearly and concisely with strong oral and written communication skillsStrong quantitative, analytical and technical skills with careful documentation and attention to detailExcellent organizational skills, ability to work independently and manage multiple projects and meet deadlines, prioritize workload, and handle sensitive and confidential informationAbility to develop effective relationships with a broad array of people from different departmentsAbility to maintain confidentialityAbility to work independently or as a teamKnowledge of regulations and laws regarding appropriate use of patient health informationJob Type: Full-timeExperience:Medical Coding: 7 years (Preferred)",Medical Coding Lead/Educator
5,NONE,NONE
6,NONE,NONE
7,NONE,NONE
8,"EA SPORTS is one of the leading sports entertainment brands in the world, with top-selling videogame franchises, award-winning interactive technology, fan programs and cross-platform digital experiences. EA SPORTS creates connected experiences that ignite the emotion of sports through industry-leading sports video games, including Madden NFL football, FIFA Soccer, NHL® hockey, NBA LIVE basketball, NCAA® Football, Tiger Woods PGA TOUR® golf, SSX, and EA SPORTS UFC. For more information about EA SPORTS, including news, video, blogs, forums and game apps, please visit www.easports.com .

The Challenge Ahead:
As a Data Analyst, you will help analyze data to improve the player experience for our Sports titles. You should be a thoughtful, curious, and analytical individual who has a passion for diving into data and building models to understand how players are interacting with our games. Your insights will help guide game design towards improved acquisition, retention, and monetization as well as go-to-market strategy.

What a Data Analyst does at EA:
Produce strategic insights to help partners (e.g. Marketing, Brand, Development, etc.) make informed decisions regarding live content performance and feature investment
Receive questions from the business, understands the questions, and determines the data needed to answer them
Present analysis conclusions to business stakeholders in a clear, interpretable, and actionable way
Work with large, distributed data sources to conduct analyses
Provide guidance to product teams regarding data capture needs and ensures the analytics team has sufficient telemetry available to answer important business questions
Partner with Business Intelligence and Database Engineers to identify and manage data requirements to support high-quality analysis and reporting
Conduct effective analysis while adhering to company-wide best practices such as version control, documentation, and reproducibility

Requirements

BA or BS in Economics, Mathematics, Statistics, Information Systems, or a related field
1 or more years of work experience in a data-driven role, demonstrating expertise with data to find insights and improve decisions
Experience in a consumer products-oriented industry; gaming, entertainment, or e-commerce is a plus.
Excellent SQL skills, including experience querying large datasets on a platform such as Redshift is a plus; experience on a big data platform such as Hadoop or Splunk is a plus
Experience in data mining and statistical modeling
Experience with data visualization applications (e.g. Tableau, Power BI, Shiny)
Experience with programmatic data analysis tools (e.g. R, Python)
Knowledge/interest with EA Sports’ franchises (specifically Madden) is a plus","Data Analyst, Sports Analytics"
9,NONE,NONE
